"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Aitkin County, MN"	"27001"	0	173	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Anoka County, MN"	"27003"	0	1443	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Becker County, MN"	"27005"	Suppressed	1108	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Beltrami County, MN"	"27007"	Suppressed	3700	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Benton County, MN"	"27009"	0	98	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Big Stone County, MN"	"27011"	0	16	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Blue Earth County, MN"	"27013"	0	113	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Brown County, MN"	"27015"	0	31	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Carlton County, MN"	"27017"	Suppressed	815	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Carver County, MN"	"27019"	0	113	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cass County, MN"	"27021"	Suppressed	1276	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Chippewa County, MN"	"27023"	0	58	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Chisago County, MN"	"27025"	0	120	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Clay County, MN"	"27027"	Suppressed	450	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Clearwater County, MN"	"27029"	0	316	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cook County, MN"	"27031"	0	200	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cottonwood County, MN"	"27033"	0	24	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Crow Wing County, MN"	"27035"	0	302	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Dakota County, MN"	"27037"	0	1174	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Dodge County, MN"	"27039"	0	38	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Douglas County, MN"	"27041"	0	62	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Faribault County, MN"	"27043"	0	32	Unreliable
