"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Adams County, PA"	"42001"	"Black or African American"	"2054-5"	0	114	0.0 (Unreliable)
	"Adams County, PA"	"42001"	"White"	"2106-3"	10	8827	113.3 (Unreliable)
"Total"	"Adams County, PA"	"42001"			10	8941	111.8 (Unreliable)
	"Allegheny County, PA"	"42003"	"Black or African American"	"2054-5"	40	13463	297.1
	"Allegheny County, PA"	"42003"	"White"	"2106-3"	165	136051	121.3
"Total"	"Allegheny County, PA"	"42003"			205	149514	137.1
	"Armstrong County, PA"	"42005"	"Black or African American"	"2054-5"	0	64	0.0 (Unreliable)
	"Armstrong County, PA"	"42005"	"White"	"2106-3"	12	8485	141.4 (Unreliable)
"Total"	"Armstrong County, PA"	"42005"			12	8549	140.4 (Unreliable)
	"Beaver County, PA"	"42007"	"Black or African American"	"2054-5"	1	918	108.9 (Unreliable)
	"Beaver County, PA"	"42007"	"White"	"2106-3"	23	20308	113.3
"Total"	"Beaver County, PA"	"42007"			24	21226	113.1
	"Bedford County, PA"	"42009"	"Black or African American"	"2054-5"	0	18	0.0 (Unreliable)
	"Bedford County, PA"	"42009"	"White"	"2106-3"	7	5621	124.5 (Unreliable)
"Total"	"Bedford County, PA"	"42009"			7	5639	124.1 (Unreliable)
	"Berks County, PA"	"42011"	"Black or African American"	"2054-5"	2	1028	194.6 (Unreliable)
	"Berks County, PA"	"42011"	"White"	"2106-3"	20	37476	53.4
"Total"	"Berks County, PA"	"42011"			22	38504	57.1
	"Blair County, PA"	"42013"	"Black or African American"	"2054-5"	1	112	892.9 (Unreliable)
	"Blair County, PA"	"42013"	"White"	"2106-3"	18	14659	122.8 (Unreliable)
"Total"	"Blair County, PA"	"42013"			19	14771	128.6 (Unreliable)
	"Bradford County, PA"	"42015"	"Black or African American"	"2054-5"	0	18	0.0 (Unreliable)
	"Bradford County, PA"	"42015"	"White"	"2106-3"	9	7273	123.7 (Unreliable)
"Total"	"Bradford County, PA"	"42015"			9	7291	123.4 (Unreliable)
	"Bucks County, PA"	"42017"	"Black or African American"	"2054-5"	4	1568	255.1 (Unreliable)
	"Bucks County, PA"	"42017"	"White"	"2106-3"	53	67518	78.5
"Total"	"Bucks County, PA"	"42017"			57	69086	82.5
	"Butler County, PA"	"42019"	"Black or African American"	"2054-5"	0	94	0.0 (Unreliable)
