County	County Code	Age Group	Age Group Code	Deaths	Population	Crude Rate
"Adams County, PA"	42001	65-74 years	65-74	NA	11402	NA
"Adams County, PA"	42001	75-84 years	75-84	15	5763	260.3
"Adams County, PA"	42001	85+ years	85+	27	2694	1002.2
"Allegheny County, PA"	42003	65-74 years	65-74	80	119039	67.2
"Allegheny County, PA"	42003	75-84 years	75-84	170	64600	263.2
"Allegheny County, PA"	42003	85+ years	85+	329	36872	892.3
"Armstrong County, PA"	42005	65-74 years	65-74	NA	7861	NA
"Armstrong County, PA"	42005	75-84 years	75-84	13	4322	300.8
"Armstrong County, PA"	42005	85+ years	85+	17	1967	864.3
"Beaver County, PA"	42007	65-74 years	65-74	16	18412	86.9
"Beaver County, PA"	42007	75-84 years	75-84	32	10536	303.7
"Beaver County, PA"	42007	85+ years	85+	56	5318	1053
"Bedford County, PA"	42009	65-74 years	65-74	NA	5507	NA
"Bedford County, PA"	42009	75-84 years	75-84	NA	3407	NA
"Bedford County, PA"	42009	85+ years	85+	19	1373	1383.8
"Berks County, PA"	42011	65-74 years	65-74	34	38112	89.2
"Berks County, PA"	42011	75-84 years	75-84	78	19874	392.5
"Berks County, PA"	42011	85+ years	85+	142	10364	1370.1
"Blair County, PA"	42013	65-74 years	65-74	14	13716	102.1
"Blair County, PA"	42013	75-84 years	75-84	17	7715	220.3
"Blair County, PA"	42013	85+ years	85+	33	3798	868.9
"Bradford County, PA"	42015	65-74 years	65-74	NA	7026	NA
"Bradford County, PA"	42015	75-84 years	75-84	NA	3782	NA
"Bradford County, PA"	42015	85+ years	85+	14	1512	925.9
"Bucks County, PA"	42017	65-74 years	65-74	38	61981	61.3
"Bucks County, PA"	42017	75-84 years	75-84	85	31460	270.2
"Bucks County, PA"	42017	85+ years	85+	166	16641	997.5
"Butler County, PA"	42019	65-74 years	65-74	12	18808	63.8
"Butler County, PA"	42019	75-84 years	75-84	22	9763	225.3
"Butler County, PA"	42019	85+ years	85+	51	5121	995.9
"Cambria County, PA"	42021	65-74 years	65-74	13	15660	83
"Cambria County, PA"	42021	75-84 years	75-84	25	8572	291.6
"Cambria County, PA"	42021	85+ years	85+	44	4641	948.1
"Cameron County, PA"	42023	65-74 years	65-74	NA	688	NA
"Cameron County, PA"	42023	75-84 years	75-84	NA	309	NA
"Cameron County, PA"	42023	85+ years	85+	NA	182	NA
"Carbon County, PA"	42025	65-74 years	65-74	NA	7511	NA
"Carbon County, PA"	42025	75-84 years	75-84	NA	3815	NA
"Carbon County, PA"	42025	85+ years	85+	19	1607	1182.3
"Centre County, PA"	42027	65-74 years	65-74	NA	11835	NA
"Centre County, PA"	42027	75-84 years	75-84	16	6284	254.6
"Centre County, PA"	42027	85+ years	85+	40	2885	1386.5
"Chester County, PA"	42029	65-74 years	65-74	28	45881	61
"Chester County, PA"	42029	75-84 years	75-84	53	22175	239
"Chester County, PA"	42029	85+ years	85+	126	11455	1100
"Clarion County, PA"	42031	65-74 years	65-74	NA	3982	NA
"Clarion County, PA"	42031	75-84 years	75-84	NA	2358	NA
"Clarion County, PA"	42031	85+ years	85+	11	883	1245.8
"Clearfield County, PA"	42033	65-74 years	65-74	NA	8687	NA
